1001001, idea01, WaraiA
1001002, hope07, WaraiC
1001003, fight04, IkariA
1001004, soppo01, IkariC
1001005, sad02, KanasiA
1001006, muneate10, KanasiC
1001007, idea02, WaraiA
1001008, fight11, WaraiC
1001009, think03, KomariA
1001010, think09, KomariA
1001011, shy06, KusyoAL
1001012, shy01, KusyoCL
1001013, tekumi01, KusyoAL
1001014, tekumi04, KusyoAL
1001015, surprise01, OdorokiC
1001016, surprise05, KomariC
1001017, fight01, DoyaA
1001018, idea02, WaraiC
1001019, kuchiate04, KomariA
1001020, hello05, WaraiC
1001021, handsup01, WaraiA
1001022, bow01, WaraiC
1001023, hope03, WaraiC
1001800, sneeze01, KanasiC
1001801, tekumi01, DereA
1001802, idea01, OdorokiC
1001803, surprise05, KanasiC
1001804, fight11, DoyaA
1001805, surprise01_mirror, WaraiA
1001806, sad02_mirror, KanasiA
1001807, fight01, KomariC
1001808, shy06, KusyoAL
1001809, sad02, KanasiA
1001810, muneate10, KanasiC
1001811, think03, KomariA
1001812, think09, KomariA
1001813, shy06, KusyoAL
1001814, tekumi04, KusyoAL
1001815, idle01, WaraiA
1001816, sleep03, KusyoCL
1001817, idle02, DoyaA


1002000, kuchiate04, WaraiA
1002001, muneate03, WaraiA
1002002, fight04, IkariC
1002003, tekumi01, KanasiA
1002004, sad02, KanasiC
1002005, tekumi06, WaraiA
1002006, kuchiate04, WaraiC
1002007, think09, KomariA
1002008, think06, KomariA
1002009, tekumi06, KusyoAL
1002010, tekumi04, DereA
1002011, tekumi01, WaraiA
1002012, surprise09, OdorokiA
1002013, guard03, KomariA
1002014, tekumi01, KomariA
1002015, tekumi06, WaraiC
1002016, fight11, WaraiA
1002017, fight01, IkariA
1002018, bow03, WaraiA
1002019, muneate04, IkariA
1002800, tekumi01, DereA
1002801, idle01, KusyoAL
1002802, surprise09, OdorokiC
1002803, sad02, KomariC
1002804, sudachi01, OdorokiA
1002805, sudachi02, IkariA
1002806, sad02, KanasiC
1002807, tekumi06, WaraiA
1002808, kuchiate04, WaraiC
1002809, think09, KomariA
1002810, think06, KomariA


1003000, joy01, WaraiA
1003001, koshiate02, WaraiC
1003002, koshiate09, IkariA
1003003, angry02, IkariC
1003004, shock04, KomariA
1003005, cry06, KanasiA
1003006, gatts04, DoyaA
1003007, fight07, WaraiC
1003008, think09, KomariA
1003009, fight06, KomariC
1003010, pose11, KusyoAL
1003011, akire02, KomariC
1003012, shy06, DereA
1003013, shy02, KusyoAL
1003014, surprise05, OdorokiC
1003015, surprise06, KomariC
1003016, koshiate06, DoyaA
1003017, near04, WaraiA
1003018, koshiate01, WaraiA
1003019, udekumi01, JitomeA
1003020, byebye07, WaraiC
1003021, think01, DoyaA
1003022, hope02, KomariC
1003023, idea01, WaraiC
1003800, sleep05, KanasiC
1003801, pose11, WaraiA
1003802, joy01, WaraiC
1003803, udekumi01, KomariA
1003804, angry02, DoyaA
1003805, near04, DereA
1003806, cry06_mirror, KanasiA
1003807, koshiate09_mirror, IkariA
1003808, koshiate02, WaraiC
1003809, koshiate09, IkariA
1003810, shock04, KomariA
1003811, cry06, KanasiA
1003812, think09, KomariA
1003813, akire02, KomariC
1003814, shy06, DereA
1003815, koshiate06, DoyaA
1003816, think01, DoyaA
1003817, sleep05, KanasiC
1003818, pose11, WaraiA
1003819, joy01, WaraiC
1003820, udekumi01, KomariA
1003821, angry02, DoyaA
1003822, near04, DereA
1003823, cry06_mirror, KanasiA
1003824, koshiate09_mirror, IkariA


1004000, muneate03, WaraiA
1004001, fight01, IkariA
1004002, koshiate03, IkariA
1004003, udekumi02, IkariA
1004004, sad02, KanasiA
1004005, tired03, KomariA
1004006, koshiate01, WaraiA
1004007, laugh02, WaraiC
1004008, think08, KomariA
1004009, pose12, KomariC
1004010, pose12, KusyoAL
1004011, soppo10, KusyoAL
1004012, tekumi06, DereA
1004013, tekumi04, KusyoAL
1004014, surprise05, KomariC
1004015, good02, WaraiC
1004016, fight12, WaraiA
1004017, koshiate03, KomariA
1004018, peace02, WaraiC
1004019, pose08, KomariA
1004020, idea02, WaraiA
1004021, kuchiate03, WaraiC
1004022, happy04, WaraiA
1004023, koshiate01, WaraiA
1004024, soppo10, IkariA
1004025, advice03, IkariA
1004026, akire04, KanasiA
1004027, tired03, KanasiA
1004028, pose12, WaraiA
1004029, clap01, WaraiC
1004030, udekumi02, FutuA
1004031, think08, KomariA
1004032, think04, KomariA
1004033, soppo01, IkariA
1004034, soppo05, IkariA
1004035, surprise03, KomariA
1004036, surprise09, KomariA
1004037, akire06, JitomeA
1004038, koshiate05, KusyoAL
1004800, koshiate01, WaraiC
1004801, laugh02, DereA
1004802, pose12, WaraiC
1004803, mot01, WaraiA
1004804, good02, DoyaA
1004805, idle01, WaraiC
1004806, idle01, DereA
1004807, muneate03, WaraiC
1004808, think08, KanasiA
1004809, tired03, KomariA
1004810, laugh02, DereA
1004811, pose12, WaraiC
1004812, mot01, WaraiA
1004813, good02, DoyaA
1004814, idle01, WaraiC
1004815, idle01, DereA
1004816, muneate03, WaraiC
1004817, think08, KanasiA
1004818, mot03, OutGameWaraiB


1005000, koshiate03, WaraiA
1005001, gatts04, WaraiC
1005002, koshiate01, IkariA
1005003, udekumi02, KomariA
1005004, muneate01, IkariA
1005005, pain06, KanasiA
1005006, think08, DereA
1005007, koshiate02, WaraiC
1005008, think05, JitomeA
1005009, think10, KomariA
1005010, pose11, KomariA
1005011, koshiate03, KusyoAL
1005012, soppo10, KusyoAL
1005013, shy05, KomariA
1005014, udekumi02, OdorokiA
1005015, send03, WaraiA
1005016, advice03, FutuA
1005017, koshiate03, FutuA
1005018, think12, KanasiA
1005019, handsup02, WaraiA
1005020, koshiate03, WaraiA
1005021, hope03, WaraiC
1005022, quiet02, WaraiA
1005023, homestand05, WaraiC
1005024, gatts04, WaraiA
1005025, koshiate09, IkariA
1005026, udekumi02, IkariA
1005027, muneate01, KanasiA
1005028, tired02, KomariA
1005029, idea02, WaraiA
1005030, quiet01, WinkL
1005031, udekumi01, FutuA
1005032, koshiate03, WaraiA
1005033, think05, FutuA
1005034, think02, KanasiA
1005035, pose11, KusyoAL
1005036, shy06, KusyoAL
1005037, surprise05, OdorokiA
1005038, near05, OdorokiA
1005039, akire04, KomariA
1005040, soppo10, KomariA
1005800, koshiate01, FutuA
1005801, clap01, WaraiA
1005802, koshiate03, WaraiC
1005803, gatts04, WaraiC
1005804, koshiate01, KomariA
1005805, udekumi02, FutuA
1005806, koshiate03, WaraiA
1005807, homestand05, WaraiA
1005808, koshiate02, WaraiA
1005809, think05, FutuA
1005810, homestand05, DereA
1005811, sneeze01, KanasiC
1005812, send03, WaraiC
1005813, near05, WaraiA


1006000, gatts03, DoyaA
1006001, kuchiate04, WaraiA
1006002, muneate05, IkariA
1006003, koshiate01, IkariA
1006004, think10, KomariA
1006005, soppo11, KanasiA
1006006, think06, WaraiA
1006007, koshiate03, WaraiA
1006008, think06, KomariA
1006009, think09, FutuA
1006010, muneate05, WaraiA
1006011, koshiate01, KomariA
1006012, tekumi04, DereA
1006013, shy02, KomariA
1006014, surprise05, OdorokiC
1006015, hungry01, DereA
1006016, idle01, FutuA
1006017, muneate05, FutuA
1006018, see01, FutuA
1006019, think06, IkariA
1006020, bow05, FutuA
1006021, hope03, WaraiA
1006800, idle01, OdorokiA
1006801, koshiate01, DereA
1006802, muneate05, DereA
1006803, sudachi02, OdorokiC
1006804, koshiate01, DoyaA
1006805, think10_mirror, KanasiA
1006806, gatts03, DoyaA
1006807, think10, KomariA
1006808, think06, KomariA
1006809, think09, FutuA
1006810, tekumi04, DereA
1006811, shy02, KomariA
1006812, hungry01, DereA
1006813, see01, FutuA
1006814, think06, IkariA
1006815, idle01, OdorokiA
1006816, koshiate01, DereA
1006817, muneate05, DereA
1006818, sudachi02, OdorokiC
1006819, koshiate01, DoyaA
